complexity,sql,question
Simple,"SELECT ra, dec FROM gaiadr3.gaia_source WHERE parallax > 1.0;",Which stars in the Gaia database have a parallax measurement greater than 1.0 milliarcseconds?
Simple,SELECT phot_g_mean_mag FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 1;,What is the mean g-band magnitude for stars in the range of 0 to 1 degrees in right ascension?
Simple,SELECT pmra FROM gaiadr3.gaia_source WHERE dec > 30;,What are the proper motions in right ascension for stars with declination greater than 30 degrees?
Simple,SELECT pmdec FROM gaiadr3.gaia_source WHERE parallax IS NULL;,What are the proper motions in declination for stars that do not have a parallax measurement?
Simple,"SELECT ra, dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE ra < 3 AND ra > 2;",Which stars with right ascension between 2 and 3 degrees have a g-band magnitude measurement?
Simple,[query],[natural language question]
Simple,"SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax BETWEEN 0.5 AND 1.5;",Which stars in the Gaia database have a parallax measurement between 0.5 and 1.5 milliarcseconds?
Simple,"SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE (pmra**2 + pmdec**2) > 100;",What are the coordinates and proper motions for stars with a combined proper motion (sqrt(pmra^2 + pmdec^2)) greater than 10 milliarcseconds/year?
Simple,"SELECT ra, dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 5 AND 10 AND parallax > 1.0;",Which stars with g-band magnitude between 5 and 10 and a parallax greater than 1.0 milliarcseconds are located in the Gaia database?
Simple,"SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 1 AND dec BETWEEN -1 AND 1;","What are the coordinates, parallax, and g-band magnitude for stars in the Gaia database with right ascension between 0 and 1 degree and declination between -1 and 1 degree?"
Simple,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE pmra > 50 OR pmdec > 50;,How many stars in the Gaia database have a proper motion (either in right ascension or declination) greater than 50 milliarcseconds/year?
Simple,"SELECT ra, dec, parallax, phot_g_mean_mag, COUNT(*) OVER () AS total_sources FROM gaiadr3.gaia_source WHERE parallax BETWEEN 0.5 AND 1.5;",Which stars in the Gaia database have a parallax measurement between 0.5 and 1.5 milliarcseconds and also provide the total number of sources in the database?
Simple,"SELECT ra, dec, pmra, pmdec, SQRT(pmra**2 + pmdec**2) AS combined_pm FROM gaiadr3.gaia_source WHERE (SQRT(pmra**2 + pmdec**2) > 100) AND (ra BETWEEN 0 AND 1) AND (dec BETWEEN -1 AND 1);","What are the coordinates and combined proper motion for stars with a combined proper motion greater than 10 milliarcseconds/year, and right ascension and declination between 0 and 1 degree and -1 and 1 degree, respectively?"
Simple,"SELECT ra, dec, phot_g_mean_mag, COUNT(*) FILTER (WHERE parallax > 1.0) OVER () AS high_parallax_sources FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 5 AND 10;",For stars with g-band magnitude between
Medium,"SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax_error < 0.01 AND phot_g_mean_mag < 15.0",Which stars in Gaia DR3 have a parallax error less than 0.01 milliarcseconds and a G band magnitude less than 15.0?
Medium,"SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE (pmra BETWEEN -100 AND 100) AND (pmdec BETWEEN -100 AND 100) AND (phot_g_mean_mag < 10.0)","What stars in Gaia DR3 have proper motions (pmra, pmdec) within the range of -100 to 100 milliarcseconds per year and a G band magnitude less than 10.0?"
Medium,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE ra BETWEEN 30.0 AND 31.0 AND dec BETWEEN -1.0 AND 0.0,How many stars in Gaia DR3 are located between 30.0 and 31.0 degrees in right ascension and between -1.0 and 0.0 degrees in declination?
Medium,"SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE (parallax > 0.1 AND parallax < 0.2) AND (phot_g_mean_mag BETWEEN 5.0 AND 10.0)",Which stars in Gaia DR3 have a parallax between 0.1 and 0.2 milliarcseconds and a G band magnitude between 5.0 and 10.0?
Complex,"SELECT ra, dec, phot_g_mean_mag, parallax, pmra, pmdec FROM gaiadr3.gaia_source WHERE parallax > 1.0 AND phot_g_mean_mag BETWEEN 10.0 AND 15.0",Which stars in the Gaia DR3 catalog have a parallax greater than 1.0 milliarcseconds and have a G magnitude between 10.0 and 15.0?
Complex,"SELECT COUNT(DISTINCT ra, dec) FROM gaiadr3.gaia_source WHERE (pmra BETWEEN -100 AND 100) AND (pmdec BETWEEN -100 AND 100) AND parallax > 0.1",How many unique positions in the sky have proper motions within the range of -100 to 100 milliarcseconds per year and a parallax greater than 0.1 milliarcseconds?
Complex,"SELECT ra, dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE (ra BETWEEN 35 AND 40) AND (dec BETWEEN -20 AND -15) AND (phot_g_mean_mag < 12) ORDER BY phot_g_mean_mag ASC","List the right ascension (RA), declination (Dec), and G magnitude of stars in the Gaia DR3 catalog within the specified sky region (RA: 35 to 40 degrees, Dec: -20 to -15 degrees) and with a G magnitude less than 12, sorted by increasing G magnitude."
Complex,"SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE (ra BETWEEN 0 AND 360) AND (dec BETWEEN -90 AND 90) AND (parallax > 0.2) AND (pmra**2 + pmdec**2 > 100)","Retrieve the right ascension (RA), declination (Dec), parallax, and G magnitude of stars in the Gaia DR3 catalog with a parallax greater than 0.2 milliarcseconds and a combined proper motion (the square root of the sum of the squares of the proper motions in RA and Dec) greater than 10 milliarcseconds per year."
Complex,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE (phot_g_mean_mag - 5 * LOG10(parallax) + 5) BETWEEN 10 AND 15,How many stars in the Gaia DR3 catalog have an apparent magnitude (after applying the distance modulus formula) between 10 and 15?
Simple,"SELECT ra, dec FROM gaiadr3.gaia_source WHERE parallax > 1.0;",Find stars with a parallax measurement greater than 1.0 milliarcseconds.
Simple,SELECT phot_g_mean_mag FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 1;,List the G-band magnitude of stars with RA between 0 and 1 degree.
Simple,"SELECT parallax, pmra, pmdec FROM gaiadr3.gaia_source WHERE dec > 30;","Retrieve parallax, proper motion in RA, and proper motion in Dec for stars with declination greater than 30 degrees."
Simple,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE pmra BETWEEN -10 AND 10;,Count the number of stars with proper motion in RA between -10 and 10 milliarcseconds per year.
