complexity,sql,question
Simple,"SELECT ra, dec FROM gaiadr3.gaia_source LIMIT 10;",Retrieve the right ascension and declination of 10 stars from the Gaia database.
Simple,"SELECT parallax, phot_g_mean_mag FROM gaiadr3.gaia_source LIMIT 5;",Fetch the parallax and G-band magnitude for 5 stars from the Gaia dataset.
Simple,"SELECT pmra, pmdec FROM gaiadr3.gaia_source LIMIT 20;",Retrieve the proper motions in right ascension and declination for 20 stars from Gaia.
Simple,"SELECT ra, dec, parallax FROM gaiadr3.gaia_source WHERE parallax > 0.1 LIMIT 15;","Get the right ascension, declination, and parallax of 15 stars with a parallax greater than 0.1 milliarcseconds from Gaia."
Simple,SELECT phot_g_mean_mag FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 10.0 LIMIT 25;,Retrieve the G-band magnitude of 25 stars with a magnitude less than 10.0 from the Gaia catalog.
Simple,"SELECT ra, dec FROM gaiadr3.gaia_source LIMIT 10;",Retrieve the right ascension and declination coordinates of 10 stars from the Gaia database.
Simple,"SELECT parallax, phot_g_mean_mag FROM gaiadr3.gaia_source LIMIT 5;",Fetch the parallax and G-band magnitude of 5 stars from the Gaia dataset.
Simple,"SELECT pmra, pmdec FROM gaiadr3.gaia_source LIMIT 20;",Retrieve the proper motions in right ascension and declination for 20 stars from the Gaia catalog.
Simple,"SELECT ra, dec, parallax FROM gaiadr3.gaia_source WHERE parallax > 0.1 LIMIT 15;","Get the right ascension, declination, and parallax of 15 stars with a parallax value greater than 0.1 milliarcseconds from the Gaia dataset."
Simple,SELECT phot_g_mean_mag FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 10.0 LIMIT 25;,Retrieve the G-band magnitude of 25 stars with a magnitude value less than 10.0 from the Gaia catalog.
Medium,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE parallax > 1.0,How many sources in Gaia DR3 have a parallax measurement greater than 1.0 milliarcseconds?
Medium,"SELECT ra, dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 10 AND 15 ORDER BY phot_g_mean_mag ASC LIMIT 10","List the right ascension, declination, and G magnitude of the first 10 sources in Gaia DR3 with G magnitude between 10 and 15, sorted in ascending order by G magnitude."
Medium,"SELECT AVG(parallax), AVG(phot_g_mean_mag) FROM gaiadr3.gaia_source WHERE pmra BETWEEN -10 AND 10 AND pmdec BETWEEN -10 AND 10","Calculate the average parallax and G magnitude for sources in Gaia DR3 with proper motions (pmra, pmdec) between -10 and 10 milliarcseconds/year."
Medium,SELECT COUNT(DISTINCT ra) FROM gaiadr3.gaia_source WHERE dec BETWEEN 0 AND 15,How many unique right ascensions are recorded for sources in Gaia DR3 with declination between 0 and 15 degrees?
Medium,"SELECT ra, dec, sqrt(pow(pmra, 2) + pow(pmdec, 2)) AS proper_motion FROM gaiadr3.gaia_source WHERE proper_motion > 10 ORDER BY proper_motion DESC LIMIT 5","List the right ascension, declination, and calculated proper motion (in milliarcseconds/year) for the top 5 sources in Gaia DR3 with a proper motion greater than 10 milliarcseconds/year, sorted in descending order by proper motion."
Medium,[query],[natural language question]
Medium,[查询],[自然语言问题]
Medium,[query],[natural language question]
