question,adql,complexity
How many sources are in the Gaia DR3 database?,SELECT COUNT(*) FROM gaiadr3.gaia_source;,Simple
What is the brightest source in the G-band?,"SELECT TOP 1 source_id, phot_g_mean_mag FROM gaiadr3.gaia_source ORDER BY phot_g_mean_mag ASC;",Simple
What is the parallax of the source with ID 1234567890123456789?,SELECT parallax FROM gaiadr3.gaia_source WHERE source_id = 1234567890123456789;,Simple
How many sources have a parallax greater than 10?,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE parallax > 10;,Simple
What is the average G-band magnitude of all sources?,SELECT AVG(phot_g_mean_mag) FROM gaiadr3.gaia_source;,Medium
What are the 10 brightest sources in the G-band with a parallax greater than 5?,"SELECT TOP 10 source_id, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax > 5 ORDER BY phot_g_mean_mag ASC;",Medium
What is the maximum radial velocity of sources with a G-band magnitude less than 10?,SELECT MAX(radial_velocity) FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 10;,Medium
How many sources have a proper motion in right ascension greater than 10 mas/yr?,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE pmra > 10;,Simple
What is the average proper motion in declination of sources with a parallax between 5 and 10 mas?,SELECT AVG(pmdec) FROM gaiadr3.gaia_source WHERE parallax BETWEEN 5 AND 10;,Medium
What are the 5 sources with the highest proper motion in right ascension that also have a G-band magnitude less than 15?,"SELECT TOP 5 source_id, pmra FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 15 ORDER BY pmra DESC;",Medium
What is the average parallax of stars with magnitude less than 10?,SELECT AVG(parallax) FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 10,Medium
How many stars have a radial velocity greater than 50 km/s?,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE radial_velocity > 50,Medium
"List the 10 closest stars to the sun, ordered by parallax in descending order.",SELECT * FROM gaiadr3.gaia_source ORDER BY parallax DESC LIMIT 10,Medium
What is the maximum distance of stars with a magnitude greater than 15?,SELECT MAX(distance) FROM gaiadr3.gaia_source WHERE phot_g_mean_mag > 15,Medium
How many stars have a proper motion in right ascension between 1 and 5 mas/yr?,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE pmra BETWEEN 1 AND 5,Medium
What is the average proper motion in declination of stars with a radial velocity less than -50 km/s?,SELECT AVG(pmdec) FROM gaiadr3.gaia_source WHERE radial_velocity < -50,Medium
"List the 20 brightest stars, ordered by magnitude in ascending order.",SELECT * FROM gaiadr3.gaia_source ORDER BY phot_g_mean_mag ASC LIMIT 20,Medium
What is the minimum parallax of stars with a proper motion in right ascension greater than 10 mas/yr?,SELECT MIN(parallax) FROM gaiadr3.gaia_source WHERE pmra > 10,Medium
How many stars have a distance between 100 and 1000 parsecs?,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE distance BETWEEN 100 AND 1000,Medium
What is the average magnitude of stars with a radial velocity between -100 and 100 km/s?,SELECT AVG(phot_g_mean_mag) FROM gaiadr3.gaia_source WHERE radial_velocity BETWEEN -100 AND 100,Medium
"What are the 10 closest stars to the Sun, excluding the Sun itself, along with their distances?","SELECT TOP 10 gs.source_id, gs.parallax, POWER(1000/gs.parallax, 2) AS distance FROM gaiadr3.gaia_source gs WHERE gs.parallax > 0 AND gs.parallax IS NOT NULL ORDER BY distance ASC",Complex
Find the 20 brightest stars in the Andromeda galaxy (M31) and their magnitudes.,"SELECT TOP 20 gs.source_id, gs.phot_g_mean_mag FROM gaiadr3.gaia_source gs JOIN gaiadr3.m31_gold_sample mgs ON gs.source_id = mgs.source_id ORDER BY gs.phot_g_mean_mag ASC",Complex
What are the proper motions of the 15 most massive stars in the Milky Way?,"SELECT TOP 15 gs.source_id, gs.pmra, gs.pmdec FROM gaiadr3.gaia_source gs JOIN (SELECT source_id, MAX(teff) AS max_teff FROM gaiadr3.gaia_source GROUP BY source_id ORDER BY max_teff DESC) max_teff_subquery ON gs.source_id = max_teff_subquery.source_id ORDER BY max_teff_subquery.max_teff DESC",Complex
Identify the 10 oldest stars in the Large Magellanic Cloud (LMC) and their ages.,"SELECT TOP 10 gs.source_id, gs.age FROM gaiadr3.gaia_source gs JOIN gaiadr3.lmc_gold_sample lgs ON gs.source_id = lgs.source_id ORDER BY gs.age DESC",Complex
What are the radial velocities of the 20 farthest stars in the Small Magellanic Cloud (SMC)?,"SELECT TOP 20 gs.source_id, gs.radial_velocity FROM gaiadr3.gaia_source gs JOIN gaiadr3.smc_gold_sample sgs ON gs.source_id = sgs.source_id ORDER BY POWER(1000/gs.parallax, 2) DESC",Complex
Find the 15 stars with the highest proper motion in the globular cluster Omega Centauri (NGC 5139).,"SELECT TOP 15 gs.source_id, SQRT(POWER(gs.pmra, 2) + POWER(gs.pmdec, 2)) AS proper_motion FROM gaiadr3.gaia_source gs JOIN gaiadr3.omega_cen_gold_sample ocs ON gs.source_id = ocs.source_id ORDER BY proper_motion DESC",Complex
Identify the 10 stars with the lowest surface gravity (log g) in the open cluster Pleiades (M45).,"SELECT TOP 10 gs.source_id, gs.logg FROM gaiadr3.gaia_source gs JOIN gaiadr3.pleiades_gold_sample pgs ON gs.source_id = pgs.source_id ORDER BY gs.logg ASC",Complex
What are the 20 most metal-rich stars in the globular cluster 47 Tucanae (NGC 104)?,"SELECT TOP 20 gs.source_id, gs.fe_h FROM gaiadr3.gaia_source gs JOIN gaiadr3.ngc104_gold_sample ngs ON gs.source_id = ngs.source_id ORDER BY gs.fe_h DESC",Complex
Find the 15 stars with the highest effective temperature (Teff) in the open cluster Hyades.,"SELECT TOP 15 gs.source_id, gs.teff FROM gaiadr3.gaia_source gs JOIN gaiadr3.hyades_gold_sample hgs ON gs.source_id = hgs.source_id ORDER BY gs.teff DESC",Complex
Identify the 10 stars with the lowest radial velocity in the globular cluster M15 (NGC 7078).,"SELECT TOP 10 gs.source_id, gs.radial_velocity FROM gaiadr3.gaia_source gs JOIN gaiadr3.m15_gold_sample mgs ON gs.source_id = mgs.source_id ORDER BY gs.radial_velocity ASC",Complex
